# Samples Generated by Stan
#
# stan_version_major=1
# stan_version_minor=2
# stan_version_patch=0
# data=linear_model.data.R
# init=random initialization
# append_samples=0
# save_warmup=0
# seed=2575924837
# chain_id=1
# iter=2000
# warmup=1000
# thin=1
# nondiag_mass=0
# equal_step_sizes=0
# leapfrog_steps=-1
# max_treedepth=10
# epsilon=-1
# epsilon_pm=0
# delta=0.5
# gamma=0.05
#
lp__,treedepth__,stepsize__,alpha,beta,sigma_noise
# (mcmc::nuts_diag) adaptation finished
# step size=7.45438
# parameter step size multipliers:
# 0.269844,1.70439,0.14908
0.679004,1,7.45438,-0.311733,7.09532,7.38215
0.679004,2,7.45438,-0.311733,7.09532,7.38215
0.131365,2,7.45438,0.098967,-11.7051,5.24305
0.131365,2,7.45438,0.098967,-11.7051,5.24305
0.256997,2,7.45438,-0.428005,8.92877,5.48838
0.0482614,2,7.45438,-0.298661,-11.9774,15.3549
0.0482614,2,7.45438,-0.298661,-11.9774,15.3549
0.0482614,1,7.45438,-0.298661,-11.9774,15.3549
0.255658,2,7.45438,-0.0111041,-1.83807,20.1978
-0.216969,2,7.45438,0.475719,13.7435,6.7079
0.120842,2,7.45438,-0.707552,-7.63664,10.0963
0.120842,1,7.45438,-0.707552,-7.63664,10.0963
-4.30375,2,7.45438,0.72895,14.4593,0.164554
-4.38878,2,7.45438,-0.302149,-12.8431,0.0623682
-4.01772,2,7.45438,-0.214868,2.89981,0.0393594
-2.7637,1,7.45438,0.0499818,-3.73082,0.135559
-3.15978,2,7.45438,-0.319066,-6.13466,0.114118
-3.15978,1,7.45438,-0.319066,-6.13466,0.114118
-1.82495,2,7.45438,0.0468246,13.2339,0.778111
-3.14349,2,7.45438,-0.95416,-15.0877,19.2476
-1.39943,2,7.45438,-0.95706,1.01567,11.5404
-0.267804,2,7.45438,-0.642218,-8.75061,4.17547
0.590461,2,7.45438,-0.57758,1.70377,7.066
0.590461,2,7.45438,-0.57758,1.70377,7.066
0.590461,2,7.45438,-0.57758,1.70377,7.066
0.590461,1,7.45438,-0.57758,1.70377,7.066
0.590461,2,7.45438,-0.57758,1.70377,7.066
0.225715,2,7.45438,0.578926,-9.67958,10.7419
-5.10052,2,7.45438,-0.923851,-28.3996,5.47515
-0.979192,1,7.45438,-0.886601,-9.61183,7.30723
0.615403,1,7.45438,-0.602763,-2.73455,10.5831
0.615403,1,7.45438,-0.602763,-2.73455,10.5831
0.448132,2,7.45438,-0.376253,9.72617,11.9246
0.448132,2,7.45438,-0.376253,9.72617,11.9246
-0.0210957,2,7.45438,0.237527,-9.83352,3.59076
0.665821,2,7.45438,-0.260827,5.14465,5.56863
0.144512,2,7.45438,-0.520298,-2.01675,3.43505
-0.65206,2,7.45438,0.405915,-16.7787,6.1723
0.078587,2,7.45438,0.626727,9.55716,7.42616
0.994361,1,7.45438,0.0580629,3.21167,7.65707
0.994361,1,7.45438,0.0580629,3.21167,7.65707
0.994361,0,7.45438,0.0580629,3.21167,7.65707
0.994361,2,7.45438,0.0580629,3.21167,7.65707
0.994361,1,7.45438,0.0580629,3.21167,7.65707
0.994361,1,7.45438,0.0580629,3.21167,7.65707
0.994361,1,7.45438,0.0580629,3.21167,7.65707
0.994361,1,7.45438,0.0580629,3.21167,7.65707
0.994361,1,7.45438,0.0580629,3.21167,7.65707
0.956879,2,7.45438,0.335801,-2.49443,10.3544
0.868223,2,7.45438,0.0512328,-0.162108,15.2226
0.868223,2,7.45438,0.0512328,-0.162108,15.2226
0.868223,2,7.45438,0.0512328,-0.162108,15.2226
0.904513,2,7.45438,-0.0164255,-3.40763,6.44915
0.719145,2,7.45438,0.0157106,5.50944,15.2207
0.719145,1,7.45438,0.0157106,5.50944,15.2207
0.903464,2,7.45438,-0.258604,0.162741,6.56545
-0.765647,2,7.45438,0.282967,0.566162,1.01831
0.127002,1,7.45438,0.357995,12.7416,11.8657
0.127002,1,7.45438,0.357995,12.7416,11.8657
0.203897,2,7.45438,-0.393961,-8.33987,16.7624
0.117765,2,7.45438,-0.156309,-10.7806,16.738
-0.821112,1,7.45438,-0.712764,-15.4283,11.7331
-1.92698,2,7.45438,-0.0626298,24.5488,8.64636
-1.92698,1,7.45438,-0.0626298,24.5488,8.64636
-1.03657,1,7.45438,0.620861,16.7867,15.3344
0.304853,2,7.45438,-0.440607,-8.77893,5.89326
-1.90036,1,7.45438,-0.40675,-5.04096,0.407529
-1.90036,2,7.45438,-0.40675,-5.04096,0.407529
0.886308,2,7.45438,0.41952,-2.11468,9.21652
0.161248,2,7.45438,0.57031,-9.32199,13.6213
-1.94901,2,7.45438,-0.511969,23.1825,12.6707
-1.4388,2,7.45438,0.501174,-21.0463,8.00339
-1.4388,1,7.45438,0.501174,-21.0463,8.00339
-5.27056,1,7.45438,0.926039,20.6095,0.607277
-2.31165,2,7.45438,0.13107,-16.2498,0.75734
-2.31165,1,7.45438,0.13107,-16.2498,0.75734
-3.32928,2,7.45438,0.386656,5.26678,0.0968385
-3.79936,1,7.45438,0.558774,1.77055,0.0662279
-3.32624,2,7.45438,0.17262,5.65018,0.0868971
-4.83717,1,7.45438,0.986103,0.706936,0.579783
